,POP100,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,Series Complete,Vax_Rate
1142,58524,58524,55396,52403,1286,121,827,11,748,3128,2947,396,789,309,21,1310,14,6,1,55,1,0,11,4,20,10,139,58,9,0,9,4,0,27,3,8,0,4,0,4,5,4,2,0,0,2,0,20,0,0,9,0,3,0,5,0,0,3,0,0,0,0,0,22,12,9,1,0,0,0,0,0,58524,2392,56132,53788,51490,1189,109,813,7,180,2344,2246,367,766,309,21,713,8,6,1,30,1,0,4,3,14,3,68,39,5,0,3,4,0,7,3,1,0,1,0,0,1,4,0,0,0,0,0,13,0,0,3,0,2,0,5,0,0,3,0,0,0,0,0,17,12,5,0,0,0,0,0,0,33930,58
1143,5792,5792,5529,5373,39,3,87,0,27,263,248,23,78,35,4,103,0,0,0,1,0,0,3,0,0,1,11,0,0,0,0,0,0,4,0,2,0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,5792,127,5665,5455,5327,39,1,82,0,6,210,207,20,78,35,4,68,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,33930,100
1144,4405,4405,4169,4100,18,6,17,0,28,236,228,22,80,19,4,96,0,0,0,3,1,0,0,0,3,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4405,132,4273,4088,4035,16,5,17,0,15,185,179,21,77,19,4,54,0,0,0,2,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,33930,100
1145,40811,40811,38558,35923,1176,103,685,11,660,2253,2113,310,513,227,11,952,13,6,0,46,0,0,8,3,16,8,111,53,7,0,9,3,0,17,3,6,0,3,0,4,1,3,2,0,0,0,0,15,0,0,7,0,2,0,4,0,0,2,0,0,0,0,0,14,9,5,0,0,0,0,0,0,40811,1951,38860,37212,35197,1089,94,679,7,146,1648,1565,286,505,227,11,481,7,6,0,22,0,0,3,2,12,3,61,38,5,0,3,3,0,3,3,1,0,1,0,0,1,3,0,0,0,0,0,10,0,0,2,0,2,0,4,0,0,2,0,0,0,0,0,12,9,3,0,0,0,0,0,0,33930,83
1146,7516,7516,7140,7007,53,9,38,0,33,376,358,41,118,28,2,159,1,0,1,5,0,0,0,1,1,1,14,4,2,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,7516,182,7334,7033,6931,45,9,35,0,13,301,295,40,106,28,2,110,1,0,1,5,0,0,0,1,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,33930,100
1147,97668,97668,88221,75406,2828,425,2225,25,7312,9447,8941,569,621,636,20,6578,39,30,11,288,10,3,78,19,25,14,420,79,23,2,142,13,8,93,20,13,5,4,2,16,0,0,0,0,0,0,0,75,9,0,60,4,1,0,0,0,0,1,0,0,0,0,0,6,0,3,0,3,0,0,5,5,97668,17760,79908,77166,71942,2425,80,2146,12,561,2742,2585,469,540,577,19,827,39,25,10,44,10,0,5,19,1,0,125,26,23,2,17,13,5,0,20,6,0,4,2,7,0,0,0,0,0,0,0,21,9,0,8,4,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,5,5,64496,66
1148,2508,2508,1949,929,93,55,58,1,813,559,545,7,12,9,0,488,1,0,0,12,2,0,9,3,1,1,9,0,0,0,6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508,1542,966,910,762,68,5,57,0,18,56,52,7,11,9,0,19,1,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1149,1076,1076,931,738,38,7,56,0,92,145,138,2,13,5,0,103,0,0,0,8,0,0,4,1,2,0,5,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,272,804,779,691,29,0,54,0,5,25,22,2,7,5,0,7,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1150,1924,1924,1691,1434,46,11,39,0,161,233,229,12,11,7,0,185,2,0,0,9,1,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1924,413,1511,1467,1383,42,3,34,0,5,44,42,10,10,5,0,13,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1151,7538,7538,6826,5833,281,28,206,1,477,712,675,24,33,54,0,548,0,1,0,4,0,0,1,0,2,8,31,13,2,0,6,0,1,6,0,1,1,0,0,1,0,0,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7538,1339,6199,6001,5522,234,11,198,0,36,198,186,23,28,42,0,91,0,1,0,1,0,0,0,0,0,0,8,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,64496,100
1152,1986,1986,1836,1721,9,8,56,0,42,150,144,13,10,33,0,87,0,0,0,0,0,0,1,0,0,0,6,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,143,1843,1767,1690,9,5,55,0,8,76,73,11,10,32,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1153,8069,8069,7119,5716,290,66,174,0,873,950,886,61,51,46,3,655,1,9,0,44,0,0,15,0,0,1,55,11,1,1,16,3,2,11,3,6,0,0,0,1,0,0,0,0,0,0,0,9,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8069,2049,6020,5788,5330,244,10,163,0,41,232,210,50,39,41,3,68,1,5,0,3,0,0,0,0,0,0,21,2,1,1,4,3,0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1154,8932,8932,8144,7115,168,39,209,2,611,788,748,41,36,52,0,590,0,0,3,19,0,0,2,4,0,1,24,4,0,0,11,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8932,1517,7415,7217,6806,147,3,205,0,56,198,187,35,28,46,0,67,0,0,3,4,0,0,0,4,0,0,6,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,64496,100
1155,624,624,567,541,0,5,11,0,10,57,50,6,7,13,0,24,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,48,576,544,533,0,0,11,0,0,32,31,6,7,13,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1156,1285,1285,1197,1135,15,1,29,2,15,88,82,6,4,1,1,60,0,0,0,8,0,2,0,0,0,0,6,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285,103,1182,1156,1115,10,0,29,2,0,26,21,6,2,1,1,8,0,0,0,3,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1157,3776,3776,3250,2631,140,24,76,5,374,526,505,42,30,21,1,379,11,4,0,7,0,0,9,0,1,0,20,1,1,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,946,2830,2684,2450,129,7,76,1,21,146,141,33,27,19,1,44,11,4,0,2,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64496,100
1158,97668,97668,88221,75406,2828,425,2225,25,7312,9447,8941,569,621,636,20,6578,39,30,11,288,10,3,78,19,25,14,420,79,23,2,142,13,8,93,20,13,5,4,2,16,0,0,0,0,0,0,0,75,9,0,60,4,1,0,0,0,0,1,0,0,0,0,0,6,0,3,0,3,0,0,5,5,97668,17760,79908,77166,71942,2425,80,2146,12,561,2742,2585,469,540,577,19,827,39,25,10,44,10,0,5,19,1,0,125,26,23,2,17,13,5,0,20,6,0,4,2,7,0,0,0,0,0,0,0,21,9,0,8,4,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,5,5,64496,66
