County,First Dose,Series Complete,Report as of
Queens,173741,56584,2/9/21
Richmond,49697,14466,2/9/21
Bronx,84551,33678,2/10/21
Kings,156577,53703,2/10/21
New York,187768,73760,2/10/21
Queens,177551,61945,2/10/21
Richmond,51431,16083,2/10/21
Bronx,86507,36618,2/11/21
Kings,162406,58592,2/11/21
New York,192081,81566,2/11/21
Queens,184128,68107,2/11/21
Richmond,53230,17829,2/11/21
Bronx,88729,39764,2/12/21
Kings,168951,63090,2/12/21
New York,196763,89379,2/12/21
Queens,191467,74743,2/12/21
Richmond,54962,19078,2/12/21
Bronx,90437,41549,2/13/21
Kings,174756,66629,2/13/21
New York,202217,95266,2/13/21
Queens,198696,79026,2/13/21
Richmond,56602,20322,2/13/21
Bronx,91683,43477,2/14/21
Kings,178492,71350,2/14/21
New York,206119,99928,2/14/21
Queens,203631,84572,2/14/21
Richmond,57681,23117,2/14/21
Bronx,92473,44287,2/15/21
Kings,181599,73241,2/15/21
New York,209107,102857,2/15/21
Queens,206334,86652,2/15/21
Richmond,58280,23583,2/15/21
Bronx,93757,46401,2/16/21
Kings,183372,76178,2/16/21
New York,211631,108829,2/16/21
Queens,208072,90053,2/16/21
Richmond,58664,24350,2/16/21
Bronx,95356,48375,2/17/21
Kings,186557,80380,2/17/21
New York,215826,115213,2/17/21
Queens,211343,94206,2/17/21
Richmond,59103,25568,2/17/21
Bronx,98794,51785,2/18/21
Kings,189029,85573,2/18/21
New York,219085,121180,2/18/21
Queens,213946,99650,2/18/21
Richmond,59505,27142,2/18/21
Bronx,100093,54476,2/19/21
Kings,191258,89539,2/19/21
New York,222102,127065,2/19/21
Queens,216184,104814,2/19/21
Richmond,60040,28221,2/19/21
Bronx,101008,56765,2/20/21
Kings,193540,94311,2/20/21
New York,224836,132559,2/20/21
Queens,218568,109704,2/20/21
Richmond,60796,30583,2/20/21
Bronx,101438,57825,2/21/21
Kings,195283,98181,2/21/21
New York,226377,135394,2/21/21
Queens,220380,113778,2/21/21
Richmond,61220,32534,2/21/21
Bronx,102387,59113,2/22/21
Kings,197382,100576,2/22/21
New York,228956,138092,2/22/21
Queens,222834,115771,2/22/21
Richmond,61477,33440,2/22/21
Bronx,104403,60321,2/23/21
Kings,202131,103391,2/23/21
New York,234797,140397,2/23/21
Queens,228254,118144,2/23/21
Richmond,62427,34114,2/23/21
Bronx,106680,62212,2/24/21
Kings,208118,106523,2/24/21
New York,239734,143898,2/24/21
Queens,234696,121400,2/24/21
Richmond,63585,34830,2/24/21
Bronx,109995,65251,2/25/21
Kings,219408,112121,2/25/21
New York,249720,149925,2/25/21
Queens,247774,127813,2/25/21
Richmond,66354,36773,2/25/21
Bronx,113400,68207,2/26/21
Kings,232716,119227,2/26/21
New York,261601,157655,2/26/21
Queens,262194,135366,2/26/21
Richmond,69147,38806,2/26/21
Bronx,117000,70056,2/27/21
Kings,243932,124540,2/27/21
New York,272945,162109,2/27/21
Queens,274700,140995,2/27/21
Richmond,71641,40406,2/27/21
Bronx,119978,71371,2/28/21
Kings,255876,127558,2/28/21
New York,283208,164423,2/28/21
Queens,290273,144952,2/28/21
Richmond,75408,41419,2/28/21
Bronx,123423,72829,3/1/21
Kings,265181,130893,3/1/21
New York,289616,167277,3/1/21
Queens,299521,147827,3/1/21
Richmond,76859,42043,3/1/21
Bronx,126720,73742,3/2/21
Kings,275177,133112,3/2/21
New York,299296,169856,3/2/21
Queens,309942,149962,3/2/21
Richmond,78554,42938,3/2/21
Bronx,129998,74767,3/3/21
Kings,284964,135348,3/3/21
New York,309218,172109,3/3/21
Queens,320531,152267,3/3/21
Richmond,80622,43920,3/3/21
Bronx,134250,76820,3/4/21
Kings,297009,139869,3/4/21
New York,322081,175283,3/4/21
Queens,334079,156298,3/4/21
Richmond,84134,45176,3/4/21
Bronx,140151,79727,3/5/21
Kings,309186,145244,3/5/21
New York,334739,179521,3/5/21
Queens,349505,162444,3/5/21
Richmond,87189,46526,3/5/21
Bronx,145133,82306,3/6/21
Kings,320616,149909,3/6/21
New York,347490,183911,3/6/21
Queens,364638,169321,3/6/21
Richmond,90351,47928,3/6/21
Bronx,146906,83721,3/7/21
Kings,328788,153530,3/7/21
New York,355318,188059,3/7/21
Queens,375708,173811,3/7/21
Richmond,92244,49157,3/7/21
Bronx,151051,85214,3/8/21
Kings,338467,157868,3/8/21
New York,364618,192420,3/8/21
Queens,386791,177550,3/8/21
Richmond,93460,50317,3/8/21
Bronx,155565,87392,3/9/21
Kings,348683,160709,3/9/21
New York,375886,197346,3/9/21
Queens,397416,180851,3/9/21
Richmond,95024,51601,3/9/21
Bronx,160774,89836,3/10/21
Kings,359985,164197,3/10/21
New York,385967,202646,3/10/21
Queens,409023,184702,3/10/21
Richmond,96853,52220,3/10/21
Bronx,167155,92519,3/11/21
Kings,372964,169261,3/11/21
New York,396433,207877,3/11/21
Queens,422965,190302,3/11/21
Richmond,99389,53593,3/11/21
Bronx,174505,95300,3/12/21
Kings,388838,174700,3/12/21
New York,409399,212989,3/12/21
Queens,439663,196201,3/12/21
Richmond,102682,55078,3/12/21
Bronx,179210,97161,3/13/21
Kings,399981,179899,3/13/21
New York,418537,217873,3/13/21
Queens,453513,203010,3/13/21
Richmond,105010,56457,3/13/21
Bronx,182415,98610,3/14/21
Kings,410625,185983,3/14/21
New York,425780,224898,3/14/21
Queens,466416,211042,3/14/21
Richmond,107582,58014,3/14/21
Bronx,185877,100351,3/15/21
Kings,421108,190315,3/15/21
New York,431525,229914,3/15/21
Queens,475733,215710,3/15/21
Richmond,108849,59277,3/15/21
Bronx,190418,103396,3/16/21
Kings,432960,194778,3/16/21
New York,439610,236417,3/16/21
Queens,487933,221298,3/16/21
Richmond,110260,60614,3/16/21
Bronx,194839,106345,3/17/21
Kings,440381,200701,3/17/21
New York,447644,241367,3/17/21
Queens,495771,228510,3/17/21
Richmond,111044,61264,3/17/21
Bronx,200555,109399,3/18/21
Kings,453908,209034,3/18/21
New York,459366,247389,3/18/21
Queens,508875,237341,3/18/21
Richmond,113759,62347,3/18/21
Bronx,206444,112521,3/19/21
Kings,466418,217254,3/19/21
New York,470068,253603,3/19/21
Queens,521077,245949,3/19/21
Richmond,117098,63273,3/19/21
Bronx,210573,114723,3/20/21
Kings,475899,223998,3/20/21
New York,477896,259081,3/20/21
Queens,530977,254429,3/20/21
Richmond,119194,64131,3/20/21
Bronx,213234,115387,3/21/21
Kings,482181,229545,3/21/21
New York,483158,261751,3/21/21
Queens,538861,261924,3/21/21
