Region,County,First Dose,Series Complete,Report as of
North Country,Clinton,14667,6380,2021-02-13
Capital Region,Columbia,6749,3259,2021-02-13
Central New York,Cortland,5007,2244,2021-02-13
Southern Tier,Delaware,3368,1375,2021-02-13
Mid-Hudson,Dutchess,26229,12540,2021-02-13
Western New York,Erie,107064,55982,2021-02-13
North Country,Essex,6324,2486,2021-02-13
North Country,Franklin,8072,3651,2021-02-13
Mohawk Valley,Fulton,5161,2472,2021-02-13
Finger Lakes,Genesee,6161,2625,2021-02-13
Capital Region,Greene,4622,1904,2021-02-13
North Country,Hamilton,1593,531,2021-02-13
Mohawk Valley,Herkimer,8145,3127,2021-02-13
North Country,Jefferson,13535,5340,2021-02-13
New York City,Kings,174756,66629,2021-02-13
North Country,Lewis,3363,1654,2021-02-13
Finger Lakes,Livingston,7692,3917,2021-02-13
Central New York,Madison,9086,4094,2021-02-13
Finger Lakes,Monroe,86829,43663,2021-02-13
Mohawk Valley,Montgomery,5747,2671,2021-02-13
Long Island,Nassau,186672,93099,2021-02-13
New York City,New York,202217,95266,2021-02-13
Western New York,Niagara,22254,10460,2021-02-13
Mohawk Valley,Oneida,32629,15259,2021-02-13
Central New York,Onondaga,67414,28962,2021-02-13
Finger Lakes,Ontario,14634,7242,2021-02-13
Mid-Hudson,Orange,26188,13676,2021-02-13
Finger Lakes,Orleans,3090,1367,2021-02-13
Central New York,Oswego,13514,6816,2021-02-13
Mohawk Valley,Otsego,7833,4069,2021-02-13
Mid-Hudson,Putnam,10214,4961,2021-02-13
New York City,Queens,198696,79026,2021-02-13
Capital Region,Rensselaer,19603,8771,2021-02-13
New York City,Richmond,56602,20322,2021-02-13
Mid-Hudson,Rockland,35286,16395,2021-02-13
Capital Region,Saratoga,29283,14969,2021-02-13
Capital Region,Schenectady,18223,9339,2021-02-13
Mohawk Valley,Schoharie,2650,1130,2021-02-13
Southern Tier,Schuyler,2056,1127,2021-02-13
Finger Lakes,Seneca,3621,1369,2021-02-13
North Country,St. Lawrence,19521,8564,2021-02-13
Southern Tier,Steuben,8031,4106,2021-02-13
Long Island,Suffolk,154202,76955,2021-02-13
Mid-Hudson,Sullivan,6559,3197,2021-02-13
Southern Tier,Tioga,4059,1874,2021-02-13
Southern Tier,Tompkins,11493,5999,2021-02-13
Mid-Hudson,Ulster,17448,8884,2021-02-13
Capital Region,Warren,8473,4305,2021-02-13
Capital Region,Washington,5417,2467,2021-02-13
Finger Lakes,Wayne,9125,4396,2021-02-13
Mid-Hudson,Westchester,116602,60667,2021-02-13
Finger Lakes,Wyoming,3977,2111,2021-02-13
Finger Lakes,Yates,2920,1140,2021-02-13
Capital Region,Albany,40655,20328,2021-02-14
Western New York,Allegany,3167,1656,2021-02-14
New York City,Bronx,91683,43477,2021-02-14
Southern Tier,Broome,27037,11560,2021-02-14
Western New York,Cattaraugus,6520,3359,2021-02-14
Central New York,Cayuga,9757,4729,2021-02-14
Western New York,Chautauqua,12185,6125,2021-02-14
Southern Tier,Chemung,9389,4818,2021-02-14
Southern Tier,Chenango,4911,1778,2021-02-14
North Country,Clinton,14833,6720,2021-02-14
Capital Region,Columbia,6899,3309,2021-02-14
Central New York,Cortland,5076,2298,2021-02-14
Southern Tier,Delaware,3500,1399,2021-02-14
Mid-Hudson,Dutchess,26683,12803,2021-02-14
Western New York,Erie,108553,57483,2021-02-14
North Country,Essex,6454,2579,2021-02-14
North Country,Franklin,8281,3783,2021-02-14
Mohawk Valley,Fulton,5219,2597,2021-02-14
Finger Lakes,Genesee,6247,2739,2021-02-14
Capital Region,Greene,4793,1996,2021-02-14
North Country,Hamilton,1595,535,2021-02-14
Mohawk Valley,Herkimer,8338,3273,2021-02-14
North Country,Jefferson,13684,5569,2021-02-14
New York City,Kings,178492,71350,2021-02-14
North Country,Lewis,3380,1684,2021-02-14
Finger Lakes,Livingston,7764,3995,2021-02-14
Central New York,Madison,9199,4193,2021-02-14
Finger Lakes,Monroe,88525,45592,2021-02-14
Mohawk Valley,Montgomery,5818,2706,2021-02-14
Long Island,Nassau,190159,97792,2021-02-14
New York City,New York,206119,99928,2021-02-14
Western New York,Niagara,22532,10755,2021-02-14
Mohawk Valley,Oneida,33334,16014,2021-02-14
Central New York,Onondaga,68448,30485,2021-02-14
Finger Lakes,Ontario,14783,7461,2021-02-14
Mid-Hudson,Orange,26511,13948,2021-02-14
Finger Lakes,Orleans,3110,1414,2021-02-14
Central New York,Oswego,13659,7287,2021-02-14
Mohawk Valley,Otsego,7936,4138,2021-02-14
Mid-Hudson,Putnam,10378,5076,2021-02-14
New York City,Queens,203631,84572,2021-02-14
Capital Region,Rensselaer,19846,9052,2021-02-14
New York City,Richmond,57681,23117,2021-02-14
Mid-Hudson,Rockland,35774,16884,2021-02-14
Capital Region,Saratoga,30019,15320,2021-02-14
Capital Region,Schenectady,18740,9684,2021-02-14
Mohawk Valley,Schoharie,2673,1150,2021-02-14
Southern Tier,Schuyler,2088,1151,2021-02-14
Finger Lakes,Seneca,3642,1413,2021-02-14
North Country,St. Lawrence,19764,8966,2021-02-14
Southern Tier,Steuben,8106,4212,2021-02-14
Long Island,Suffolk,156576,79851,2021-02-14
Mid-Hudson,Sullivan,6600,3262,2021-02-14
Southern Tier,Tioga,4176,1932,2021-02-14
Southern Tier,Tompkins,11651,6131,2021-02-14
Mid-Hudson,Ulster,17735,9121,2021-02-14
Capital Region,Warren,8698,4379,2021-02-14
Capital Region,Washington,5531,2508,2021-02-14
Finger Lakes,Wayne,9252,4589,2021-02-14
Mid-Hudson,Westchester,118413,62706,2021-02-14
Finger Lakes,Wyoming,4019,2130,2021-02-14
Finger Lakes,Yates,2958,1209,2021-02-14
Capital Region,Albany,41343,20998,2021-02-15
Western New York,Allegany,3241,1702,2021-02-15
New York City,Bronx,92473,44287,2021-02-15
Southern Tier,Broome,27653,12136,2021-02-15
Western New York,Cattaraugus,6687,3475,2021-02-15
Central New York,Cayuga,9944,4901,2021-02-15
Western New York,Chautauqua,12451,6396,2021-02-15
Southern Tier,Chemung,9484,4929,2021-02-15
Southern Tier,Chenango,4995,1802,2021-02-15
North Country,Clinton,15116,7101,2021-02-15
Capital Region,Columbia,7064,3349,2021-02-15
Central New York,Cortland,5204,2393,2021-02-15
Southern Tier,Delaware,3683,1428,2021-02-15
Mid-Hudson,Dutchess,27268,13099,2021-02-15
Western New York,Erie,110289,59270,2021-02-15
North Country,Essex,6609,2698,2021-02-15
North Country,Franklin,8525,3996,2021-02-15
Mohawk Valley,Fulton,5315,2619,2021-02-15
Finger Lakes,Genesee,6387,2834,2021-02-15
Capital Region,Greene,4857,2022,2021-02-15
North Country,Hamilton,1629,550,2021-02-15
Mohawk Valley,Herkimer,8567,3455,2021-02-15
North Country,Jefferson,13893,5835,2021-02-15
New York City,Kings,181599,73241,2021-02-15
North Country,Lewis,3395,1720,2021-02-15
Finger Lakes,Livingston,7833,4175,2021-02-15
Central New York,Madison,9423,4406,2021-02-15
Finger Lakes,Monroe,90529,48306,2021-02-15
Mohawk Valley,Montgomery,5898,2777,2021-02-15
Long Island,Nassau,192796,101719,2021-02-15
New York City,New York,209107,102857,2021-02-15
Western New York,Niagara,22959,11120,2021-02-15
Mohawk Valley,Oneida,34374,16748,2021-02-15
Central New York,Onondaga,69847,32084,2021-02-15
Finger Lakes,Ontario,14956,7762,2021-02-15
Mid-Hudson,Orange,26799,14209,2021-02-15
Finger Lakes,Orleans,3151,1460,2021-02-15
Central New York,Oswego,13939,7712,2021-02-15
Mohawk Valley,Otsego,8055,4336,2021-02-15
Mid-Hudson,Putnam,10585,5329,2021-02-15
New York City,Queens,206334,86652,2021-02-15
Capital Region,Rensselaer,20185,9448,2021-02-15
New York City,Richmond,58280,23583,2021-02-15
Mid-Hudson,Rockland,36137,17308,2021-02-15
Capital Region,Saratoga,30843,15845,2021-02-15
Capital Region,Schenectady,19354,10102,2021-02-15
Mohawk Valley,Schoharie,2706,1176,2021-02-15
Southern Tier,Schuyler,2159,1173,2021-02-15
Finger Lakes,Seneca,3686,1460,2021-02-15
North Country,St. Lawrence,20049,9496,2021-02-15
Southern Tier,Steuben,8194,4394,2021-02-15
Long Island,Suffolk,158813,82551,2021-02-15
Mid-Hudson,Sullivan,6656,3293,2021-02-15
Southern Tier,Tioga,4381,1981,2021-02-15
Southern Tier,Tompkins,12449,6244,2021-02-15
Mid-Hudson,Ulster,18037,9235,2021-02-15
Capital Region,Warren,8983,4609,2021-02-15
Capital Region,Washington,5692,2637,2021-02-15
Finger Lakes,Wayne,9385,4712,2021-02-15
Mid-Hudson,Westchester,120578,64741,2021-02-15
Finger Lakes,Wyoming,4041,2206,2021-02-15
Finger Lakes,Yates,2995,1273,2021-02-15
Capital Region,Albany,42175,21525,2021-02-16
Western New York,Allegany,3277,1740,2021-02-16
New York City,Bronx,93757,46401,2021-02-16
Southern Tier,Broome,28126,12595,2021-02-16
Western New York,Cattaraugus,6884,3681,2021-02-16
Central New York,Cayuga,10073,5406,2021-02-16
Western New York,Chautauqua,12833,6636,2021-02-16
Southern Tier,Chemung,9531,4966,2021-02-16
Southern Tier,Chenango,5031,1833,2021-02-16
North Country,Clinton,15468,7451,2021-02-16
Capital Region,Columbia,7197,3389,2021-02-16
Central New York,Cortland,5255,2471,2021-02-16
Southern Tier,Delaware,3833,1495,2021-02-16
Mid-Hudson,Dutchess,27689,13445,2021-02-16
Western New York,Erie,112734,61399,2021-02-16
North Country,Essex,6762,2779,2021-02-16
North Country,Franklin,8772,4235,2021-02-16
Mohawk Valley,Fulton,5382,2651,2021-02-16
Finger Lakes,Genesee,6450,2977,2021-02-16
Capital Region,Greene,4921,2048,2021-02-16
North Country,Hamilton,1645,589,2021-02-16
Mohawk Valley,Herkimer,8803,3672,2021-02-16
North Country,Jefferson,14106,5912,2021-02-16
New York City,Kings,183372,76178,2021-02-16
North Country,Lewis,3416,1729,2021-02-16
Finger Lakes,Livingston,7932,4280,2021-02-16
Central New York,Madison,9643,4627,2021-02-16
Finger Lakes,Monroe,91631,49731,2021-02-16
Mohawk Valley,Montgomery,5972,2828,2021-02-16
Long Island,Nassau,196082,105691,2021-02-16
New York City,New York,211631,108829,2021-02-16
Western New York,Niagara,23208,11541,2021-02-16
Mohawk Valley,Oneida,35295,17591,2021-02-16
Central New York,Onondaga,71150,34759,2021-02-16
Finger Lakes,Ontario,15131,7981,2021-02-16
Mid-Hudson,Orange,27596,14446,2021-02-16
Finger Lakes,Orleans,3167,1522,2021-02-16
Central New York,Oswego,14149,7959,2021-02-16
Mohawk Valley,Otsego,8158,4540,2021-02-16
Mid-Hudson,Putnam,10755,5480,2021-02-16
New York City,Queens,208072,90053,2021-02-16
Capital Region,Rensselaer,20469,9645,2021-02-16
New York City,Richmond,58664,24350,2021-02-16
Mid-Hudson,Rockland,36888,17960,2021-02-16
Capital Region,Saratoga,31543,16214,2021-02-16
Capital Region,Schenectady,19821,10392,2021-02-16
Mohawk Valley,Schoharie,2743,1209,2021-02-16
Southern Tier,Schuyler,2166,1178,2021-02-16
Finger Lakes,Seneca,3718,1524,2021-02-16
North Country,St. Lawrence,20371,9859,2021-02-16
Southern Tier,Steuben,8285,4461,2021-02-16
Long Island,Suffolk,161184,85620,2021-02-16
Mid-Hudson,Sullivan,6780,3315,2021-02-16
Southern Tier,Tioga,4486,2042,2021-02-16
Southern Tier,Tompkins,12605,6346,2021-02-16
Mid-Hudson,Ulster,18368,9478,2021-02-16
Capital Region,Warren,9180,4690,2021-02-16
Capital Region,Washington,5792,2672,2021-02-16
Finger Lakes,Wayne,9567,4797,2021-02-16
Mid-Hudson,Westchester,122230,67596,2021-02-16
Finger Lakes,Wyoming,4092,2287,2021-02-16
Finger Lakes,Yates,3030,1328,2021-02-16
Capital Region,Albany,43560,22151,2021-02-17
Western New York,Allegany,3381,1768,2021-02-17
New York City,Bronx,95356,48375,2021-02-17
Southern Tier,Broome,29016,13149,2021-02-17
Western New York,Cattaraugus,7090,3843,2021-02-17
Central New York,Cayuga,10245,5555,2021-02-17
Western New York,Chautauqua,13194,6875,2021-02-17
Southern Tier,Chemung,9597,5108,2021-02-17
Southern Tier,Chenango,5115,2212,2021-02-17
North Country,Clinton,15738,7766,2021-02-17
Capital Region,Columbia,7458,3499,2021-02-17
Central New York,Cortland,5355,2713,2021-02-17
Southern Tier,Delaware,4063,1533,2021-02-17
Mid-Hudson,Dutchess,28984,14192,2021-02-17
Western New York,Erie,115583,64037,2021-02-17
North Country,Essex,6888,3070,2021-02-17
North Country,Franklin,8944,4483,2021-02-17
Mohawk Valley,Fulton,5555,2738,2021-02-17
Finger Lakes,Genesee,6802,3344,2021-02-17
Capital Region,Greene,5022,2105,2021-02-17
North Country,Hamilton,1650,635,2021-02-17
Mohawk Valley,Herkimer,8968,3999,2021-02-17
North Country,Jefferson,14327,6213,2021-02-17
New York City,Kings,186557,80380,2021-02-17
North Country,Lewis,3445,1752,2021-02-17
Finger Lakes,Livingston,8002,4619,2021-02-17
Central New York,Madison,9875,4904,2021-02-17
Finger Lakes,Monroe,93207,52420,2021-02-17
Mohawk Valley,Montgomery,6236,2892,2021-02-17
Long Island,Nassau,200407,110359,2021-02-17
New York City,New York,215826,115213,2021-02-17
Western New York,Niagara,23648,12861,2021-02-17
Mohawk Valley,Oneida,35844,18572,2021-02-17
Central New York,Onondaga,72817,36586,2021-02-17
Finger Lakes,Ontario,15404,8562,2021-02-17
Mid-Hudson,Orange,28579,14874,2021-02-17
Finger Lakes,Orleans,3213,1651,2021-02-17
Central New York,Oswego,14329,8299,2021-02-17
Mohawk Valley,Otsego,8389,4604,2021-02-17
Mid-Hudson,Putnam,11090,5661,2021-02-17
New York City,Queens,211343,94206,2021-02-17
Capital Region,Rensselaer,20943,9885,2021-02-17
New York City,Richmond,59103,25568,2021-02-17
Mid-Hudson,Rockland,37578,19054,2021-02-17
Capital Region,Saratoga,32712,16772,2021-02-17
Capital Region,Schenectady,21596,10746,2021-02-17
Mohawk Valley,Schoharie,2833,1255,2021-02-17
Southern Tier,Schuyler,2184,1206,2021-02-17
Finger Lakes,Seneca,3798,1923,2021-02-17
North Country,St. Lawrence,20687,10292,2021-02-17
Southern Tier,Steuben,8443,4750,2021-02-17
Long Island,Suffolk,164468,88735,2021-02-17
Mid-Hudson,Sullivan,6949,3363,2021-02-17
Southern Tier,Tioga,4659,2127,2021-02-17
Southern Tier,Tompkins,12840,6545,2021-02-17
Mid-Hudson,Ulster,19244,9663,2021-02-17
Capital Region,Warren,9478,4876,2021-02-17
Capital Region,Washington,5997,2724,2021-02-17
Finger Lakes,Wayne,9733,5142,2021-02-17
Mid-Hudson,Westchester,124612,70723,2021-02-17
Finger Lakes,Wyoming,4148,2340,2021-02-17
Finger Lakes,Yates,3057,1395,2021-02-17
Capital Region,Albany,44314,23026,2021-02-18
Western New York,Allegany,3417,1810,2021-02-18
New York City,Bronx,98794,51785,2021-02-18
Southern Tier,Broome,29499,13987,2021-02-18
Western New York,Cattaraugus,7167,4013,2021-02-18
Central New York,Cayuga,10366,5674,2021-02-18
Western New York,Chautauqua,13438,7286,2021-02-18
Southern Tier,Chemung,9667,5369,2021-02-18
Southern Tier,Chenango,5149,2303,2021-02-18
North Country,Clinton,15955,8097,2021-02-18
Capital Region,Columbia,7571,3552,2021-02-18
Central New York,Cortland,5419,2838,2021-02-18
Southern Tier,Delaware,4174,1755,2021-02-18
Mid-Hudson,Dutchess,29486,14627,2021-02-18
Western New York,Erie,117144,68037,2021-02-18
North Country,Essex,6950,3273,2021-02-18
North Country,Franklin,9046,4705,2021-02-18
Mohawk Valley,Fulton,5628,3031,2021-02-18
Finger Lakes,Genesee,6900,3433,2021-02-18
Capital Region,Greene,5075,2152,2021-02-18
North Country,Hamilton,1652,718,2021-02-18
Mohawk Valley,Herkimer,9085,4273,2021-02-18
North Country,Jefferson,14552,6647,2021-02-18
New York City,Kings,189029,85573,2021-02-18
North Country,Lewis,3471,1924,2021-02-18
Finger Lakes,Livingston,8067,4838,2021-02-18
Central New York,Madison,10027,5130,2021-02-18
Finger Lakes,Monroe,94966,54440,2021-02-18
Mohawk Valley,Montgomery,6314,3188,2021-02-18
Long Island,Nassau,204055,114075,2021-02-18
New York City,New York,219085,121180,2021-02-18
Western New York,Niagara,23931,13840,2021-02-18
Mohawk Valley,Oneida,36320,19457,2021-02-18
Central New York,Onondaga,74255,38070,2021-02-18
Finger Lakes,Ontario,15623,8873,2021-02-18
Mid-Hudson,Orange,29214,15332,2021-02-18
Finger Lakes,Orleans,3447,1789,2021-02-18
Central New York,Oswego,14526,8540,2021-02-18
Mohawk Valley,Otsego,8486,4717,2021-02-18
Mid-Hudson,Putnam,11247,5844,2021-02-18
New York City,Queens,213946,99650,2021-02-18
Capital Region,Rensselaer,21203,10203,2021-02-18
New York City,Richmond,59505,27142,2021-02-18
Mid-Hudson,Rockland,38217,19571,2021-02-18
Capital Region,Saratoga,33395,17296,2021-02-18
Capital Region,Schenectady,21983,11127,2021-02-18
Mohawk Valley,Schoharie,2885,1299,2021-02-18
Southern Tier,Schuyler,2218,1302,2021-02-18
Finger Lakes,Seneca,3840,1948,2021-02-18
North Country,St. Lawrence,20980,11097,2021-02-18
Southern Tier,Steuben,8644,4891,2021-02-18
Long Island,Suffolk,167358,91454,2021-02-18
Mid-Hudson,Sullivan,7055,3397,2021-02-18
Southern Tier,Tioga,4730,2204,2021-02-18
Southern Tier,Tompkins,12971,6872,2021-02-18
Mid-Hudson,Ulster,19575,10018,2021-02-18
Capital Region,Warren,9636,5104,2021-02-18
Capital Region,Washington,6116,2794,2021-02-18
Finger Lakes,Wayne,9828,5281,2021-02-18
Mid-Hudson,Westchester,126674,72794,2021-02-18
Finger Lakes,Wyoming,4262,2575,2021-02-18
Finger Lakes,Yates,3089,1454,2021-02-18
Capital Region,Albany,45073,23866,2021-02-19
Western New York,Allegany,3444,1946,2021-02-19
New York City,Bronx,100093,54476,2021-02-19
Southern Tier,Broome,29976,15050,2021-02-19
Western New York,Cattaraugus,7255,4125,2021-02-19
Central New York,Cayuga,10462,5787,2021-02-19
Western New York,Chautauqua,13838,8195,2021-02-19
Southern Tier,Chemung,9692,5580,2021-02-19
Southern Tier,Chenango,5188,2566,2021-02-19
North Country,Clinton,16162,8565,2021-02-19
Capital Region,Columbia,7635,3631,2021-02-19
Central New York,Cortland,5459,2929,2021-02-19
Southern Tier,Delaware,4208,1809,2021-02-19
Mid-Hudson,Dutchess,29900,15015,2021-02-19
Western New York,Erie,118529,71821,2021-02-19
North Country,Essex,7042,3521,2021-02-19
North Country,Franklin,9283,4959,2021-02-19
Mohawk Valley,Fulton,5675,3338,2021-02-19
Finger Lakes,Genesee,6984,3689,2021-02-19
Capital Region,Greene,5142,2237,2021-02-19
North Country,Hamilton,1657,771,2021-02-19
Mohawk Valley,Herkimer,9194,4756,2021-02-19
North Country,Jefferson,14647,6922,2021-02-19
New York City,Kings,191258,89539,2021-02-19
North Country,Lewis,3477,2001,2021-02-19
Finger Lakes,Livingston,8151,5130,2021-02-19
Central New York,Madison,10179,5356,2021-02-19
Finger Lakes,Monroe,96144,56596,2021-02-19
Mohawk Valley,Montgomery,6380,3634,2021-02-19
Long Island,Nassau,207868,117279,2021-02-19
New York City,New York,222102,127065,2021-02-19
Western New York,Niagara,24113,14492,2021-02-19
Mohawk Valley,Oneida,36836,20025,2021-02-19
Central New York,Onondaga,75526,39787,2021-02-19
Finger Lakes,Ontario,15774,9084,2021-02-19
Mid-Hudson,Orange,29488,15595,2021-02-19
Finger Lakes,Orleans,3467,1867,2021-02-19
Central New York,Oswego,14719,8785,2021-02-19
Mohawk Valley,Otsego,8559,4835,2021-02-19
Mid-Hudson,Putnam,11382,6080,2021-02-19
New York City,Queens,216184,104814,2021-02-19
Capital Region,Rensselaer,21405,10469,2021-02-19
New York City,Richmond,60040,28221,2021-02-19
Mid-Hudson,Rockland,38750,20112,2021-02-19
Capital Region,Saratoga,34020,18131,2021-02-19
Capital Region,Schenectady,22313,11463,2021-02-19
Mohawk Valley,Schoharie,2913,1319,2021-02-19
Southern Tier,Schuyler,2225,1355,2021-02-19
Finger Lakes,Seneca,3870,2069,2021-02-19
North Country,St. Lawrence,21273,11791,2021-02-19
Southern Tier,Steuben,8699,5060,2021-02-19
Long Island,Suffolk,172785,94680,2021-02-19
Mid-Hudson,Sullivan,7081,3419,2021-02-19
Southern Tier,Tioga,4801,2356,2021-02-19
Southern Tier,Tompkins,13116,7002,2021-02-19
Mid-Hudson,Ulster,19801,10213,2021-02-19
Capital Region,Warren,9785,5244,2021-02-19
Capital Region,Washington,6192,2868,2021-02-19
Finger Lakes,Wayne,9950,5418,2021-02-19
Mid-Hudson,Westchester,128461,75127,2021-02-19
Finger Lakes,Wyoming,4337,2685,2021-02-19
Finger Lakes,Yates,3107,1505,2021-02-19
Capital Region,Albany,46392,24520,2021-02-20
Western New York,Allegany,3456,1955,2021-02-20
New York City,Bronx,101008,56765,2021-02-20
Southern Tier,Broome,30517,15707,2021-02-20
Western New York,Cattaraugus,7315,4161,2021-02-20
Central New York,Cayuga,10566,5915,2021-02-20
Western New York,Chautauqua,13976,8376,2021-02-20
Southern Tier,Chemung,9729,5752,2021-02-20
Southern Tier,Chenango,5223,2621,2021-02-20
North Country,Clinton,16330,8833,2021-02-20
Capital Region,Columbia,7737,3683,2021-02-20
Central New York,Cortland,5534,2957,2021-02-20
Southern Tier,Delaware,4256,1867,2021-02-20
Mid-Hudson,Dutchess,30291,15633,2021-02-20
Western New York,Erie,120230,74591,2021-02-20
North Country,Essex,7115,3672,2021-02-20
North Country,Franklin,9403,5049,2021-02-20
Mohawk Valley,Fulton,5711,3456,2021-02-20
Finger Lakes,Genesee,7049,3774,2021-02-20
Capital Region,Greene,5181,2254,2021-02-20
North Country,Hamilton,1658,841,2021-02-20
Mohawk Valley,Herkimer,9298,4908,2021-02-20
North Country,Jefferson,14739,7723,2021-02-20
New York City,Kings,193540,94311,2021-02-20
North Country,Lewis,3494,2059,2021-02-20
Finger Lakes,Livingston,8189,5222,2021-02-20
Central New York,Madison,10315,5449,2021-02-20
Finger Lakes,Monroe,97720,59351,2021-02-20
Mohawk Valley,Montgomery,6441,3720,2021-02-20
Long Island,Nassau,211047,121176,2021-02-20
New York City,New York,224836,132559,2021-02-20
Western New York,Niagara,24386,14926,2021-02-20
Mohawk Valley,Oneida,37276,21094,2021-02-20
Central New York,Onondaga,76983,41074,2021-02-20
Finger Lakes,Ontario,15950,9297,2021-02-20
Mid-Hudson,Orange,29764,16093,2021-02-20
Finger Lakes,Orleans,3488,1905,2021-02-20
Central New York,Oswego,14927,9032,2021-02-20
Mohawk Valley,Otsego,8628,4973,2021-02-20
Mid-Hudson,Putnam,11508,6205,2021-02-20
New York City,Queens,218568,109704,2021-02-20
Capital Region,Rensselaer,21614,10688,2021-02-20
New York City,Richmond,60796,30583,2021-02-20
Mid-Hudson,Rockland,39174,21032,2021-02-20
Capital Region,Saratoga,34654,18599,2021-02-20
Capital Region,Schenectady,22685,11716,2021-02-20
Mohawk Valley,Schoharie,2954,1341,2021-02-20
Southern Tier,Schuyler,2227,1362,2021-02-20
Finger Lakes,Seneca,3894,2117,2021-02-20
North Country,St. Lawrence,21645,12431,2021-02-20
Southern Tier,Steuben,8749,5150,2021-02-20
Long Island,Suffolk,176154,97770,2021-02-20
Mid-Hudson,Sullivan,7105,3456,2021-02-20
Southern Tier,Tioga,4870,2417,2021-02-20
Southern Tier,Tompkins,13459,7158,2021-02-20
Mid-Hudson,Ulster,20003,10470,2021-02-20
Capital Region,Warren,9971,5537,2021-02-20
Capital Region,Washington,6303,3022,2021-02-20
Finger Lakes,Wayne,10088,5910,2021-02-20
Mid-Hudson,Westchester,130578,77107,2021-02-20
Finger Lakes,Wyoming,4358,2716,2021-02-20
Finger Lakes,Yates,3123,1576,2021-02-20
Capital Region,Albany,47106,25017,2021-02-21
Western New York,Allegany,3471,1957,2021-02-21
New York City,Bronx,101438,57825,2021-02-21
Southern Tier,Broome,30870,16145,2021-02-21
Western New York,Cattaraugus,7360,4180,2021-02-21
Central New York,Cayuga,10643,5977,2021-02-21
Western New York,Chautauqua,14027,8451,2021-02-21
Southern Tier,Chemung,9784,5816,2021-02-21
Southern Tier,Chenango,5247,2687,2021-02-21
North Country,Clinton,16521,9083,2021-02-21
Capital Region,Columbia,7856,3725,2021-02-21
Central New York,Cortland,5678,2981,2021-02-21
Southern Tier,Delaware,4308,1896,2021-02-21
Mid-Hudson,Dutchess,30677,16180,2021-02-21
Western New York,Erie,121248,75892,2021-02-21
North Country,Essex,7198,3756,2021-02-21
North Country,Franklin,9469,5149,2021-02-21
Mohawk Valley,Fulton,5755,3515,2021-02-21
Finger Lakes,Genesee,7091,3845,2021-02-21
Capital Region,Greene,5237,2286,2021-02-21
North Country,Hamilton,1661,843,2021-02-21
Mohawk Valley,Herkimer,9395,5045,2021-02-21
North Country,Jefferson,14806,8562,2021-02-21
New York City,Kings,195283,98181,2021-02-21
North Country,Lewis,3502,2159,2021-02-21
Finger Lakes,Livingston,8227,5296,2021-02-21
Central New York,Madison,10454,5563,2021-02-21
Finger Lakes,Monroe,98961,60299,2021-02-21
Mohawk Valley,Montgomery,6473,3784,2021-02-21
Long Island,Nassau,213326,125038,2021-02-21
New York City,New York,226377,135394,2021-02-21
Western New York,Niagara,24529,15156,2021-02-21
Mohawk Valley,Oneida,37628,21510,2021-02-21
Central New York,Onondaga,78077,43009,2021-02-21
Finger Lakes,Ontario,16172,9413,2021-02-21
Mid-Hudson,Orange,30160,16277,2021-02-21
Finger Lakes,Orleans,3513,1921,2021-02-21
Central New York,Oswego,15049,9141,2021-02-21
Mohawk Valley,Otsego,8692,5061,2021-02-21
Mid-Hudson,Putnam,11632,6422,2021-02-21
New York City,Queens,220380,113778,2021-02-21
Capital Region,Rensselaer,21820,10880,2021-02-21
New York City,Richmond,61220,32534,2021-02-21
Mid-Hudson,Rockland,39410,21451,2021-02-21
Capital Region,Saratoga,35167,18993,2021-02-21
Capital Region,Schenectady,23012,11887,2021-02-21
Mohawk Valley,Schoharie,2973,1360,2021-02-21
Southern Tier,Schuyler,2231,1380,2021-02-21
Finger Lakes,Seneca,3916,2197,2021-02-21
North Country,St. Lawrence,21822,12883,2021-02-21
Southern Tier,Steuben,8781,5206,2021-02-21
Long Island,Suffolk,178044,99665,2021-02-21
Mid-Hudson,Sullivan,7145,3479,2021-02-21
Southern Tier,Tioga,4933,2463,2021-02-21
Southern Tier,Tompkins,13588,7199,2021-02-21
Mid-Hudson,Ulster,20226,11064,2021-02-21
Capital Region,Warren,10119,5741,2021-02-21
Capital Region,Washington,6379,3057,2021-02-21
Finger Lakes,Wayne,10177,5959,2021-02-21
Mid-Hudson,Westchester,131911,78963,2021-02-21
Finger Lakes,Wyoming,4375,2733,2021-02-21
Finger Lakes,Yates,3139,1602,2021-02-21
Capital Region,Albany,47889,25479,2021-02-22
Western New York,Allegany,3487,2007,2021-02-22
New York City,Bronx,102387,59113,2021-02-22
Southern Tier,Broome,31247,16730,2021-02-22
Western New York,Cattaraugus,7380,4228,2021-02-22
Central New York,Cayuga,10719,6164,2021-02-22
Western New York,Chautauqua,14052,8560,2021-02-22
Southern Tier,Chemung,9873,5894,2021-02-22
Southern Tier,Chenango,5294,2786,2021-02-22
North Country,Clinton,16756,9427,2021-02-22
Capital Region,Columbia,7919,3790,2021-02-22
Central New York,Cortland,5747,3052,2021-02-22
Southern Tier,Delaware,4340,1920,2021-02-22
Mid-Hudson,Dutchess,31028,16472,2021-02-22
Western New York,Erie,122114,77366,2021-02-22
North Country,Essex,7267,3933,2021-02-22
North Country,Franklin,9538,5363,2021-02-22
Mohawk Valley,Fulton,5805,3552,2021-02-22
