Region,County,First Dose,Series Complete,Report as of
Mohawk Valley,Fulton,9,0,2020-12-16
Finger Lakes,Genesee,5,0,2020-12-16
Capital Region,Greene,13,0,2020-12-16
North Country,Hamilton,0,0,2020-12-16
Mohawk Valley,Herkimer,4,0,2020-12-16
North Country,Jefferson,1,0,2020-12-16
New York City,Kings,537,0,2020-12-16
North Country,Lewis,0,0,2020-12-16
Finger Lakes,Livingston,18,0,2020-12-16
Central New York,Madison,17,0,2020-12-16
Finger Lakes,Monroe,399,2,2020-12-16
Mohawk Valley,Montgomery,8,0,2020-12-16
Long Island,Nassau,484,1,2020-12-16
New York City,New York,1498,2,2020-12-16
Western New York,Niagara,0,0,2020-12-16
Mohawk Valley,Oneida,39,0,2020-12-16
Central New York,Onondaga,209,1,2020-12-16
Finger Lakes,Ontario,15,0,2020-12-16
Mid-Hudson,Orange,59,0,2020-12-16
Finger Lakes,Orleans,3,0,2020-12-16
Central New York,Oswego,9,0,2020-12-16
Mohawk Valley,Otsego,0,0,2020-12-16
Mid-Hudson,Putnam,32,1,2020-12-16
New York City,Queens,580,2,2020-12-16
Capital Region,Rensselaer,101,1,2020-12-16
New York City,Richmond,193,1,2020-12-16
Mid-Hudson,Rockland,88,0,2020-12-16
Capital Region,Saratoga,130,0,2020-12-16
Capital Region,Schenectady,172,0,2020-12-16
Mohawk Valley,Schoharie,7,0,2020-12-16
Southern Tier,Schuyler,0,0,2020-12-16
Finger Lakes,Seneca,1,0,2020-12-16
North Country,St. Lawrence,225,1,2020-12-16
Southern Tier,Steuben,0,0,2020-12-16
Long Island,Suffolk,208,1,2020-12-16
Mid-Hudson,Sullivan,2,0,2020-12-16
Southern Tier,Tioga,1,0,2020-12-16
Southern Tier,Tompkins,4,0,2020-12-16
Mid-Hudson,Ulster,54,0,2020-12-16
Capital Region,Warren,14,0,2020-12-16
Capital Region,Washington,7,0,2020-12-16
Finger Lakes,Wayne,9,1,2020-12-16
Mid-Hudson,Westchester,593,1,2020-12-16
Finger Lakes,Wyoming,3,0,2020-12-16
Finger Lakes,Yates,1,0,2020-12-16
Capital Region,Albany,457,2,2020-12-17
Western New York,Allegany,22,0,2020-12-17
New York City,Bronx,348,1,2020-12-17
Southern Tier,Broome,5,0,2020-12-17
Western New York,Cattaraugus,73,0,2020-12-17
Central New York,Cayuga,17,0,2020-12-17
Western New York,Chautauqua,102,0,2020-12-17
Southern Tier,Chemung,3,0,2020-12-17
Southern Tier,Chenango,0,0,2020-12-17
North Country,Clinton,25,0,2020-12-17
Capital Region,Columbia,22,1,2020-12-17
Central New York,Cortland,1,0,2020-12-17
Southern Tier,Delaware,1,0,2020-12-17
Mid-Hudson,Dutchess,220,1,2020-12-17
Western New York,Erie,721,1,2020-12-17
North Country,Essex,10,0,2020-12-17
North Country,Franklin,25,0,2020-12-17
Mohawk Valley,Fulton,11,0,2020-12-17
Finger Lakes,Genesee,11,0,2020-12-17
Capital Region,Greene,16,0,2020-12-17
North Country,Hamilton,0,0,2020-12-17
Mohawk Valley,Herkimer,22,0,2020-12-17
North Country,Jefferson,4,0,2020-12-17
New York City,Kings,1109,5,2020-12-17
North Country,Lewis,3,0,2020-12-17
Finger Lakes,Livingston,26,0,2020-12-17
Central New York,Madison,34,0,2020-12-17
Finger Lakes,Monroe,585,2,2020-12-17
Mohawk Valley,Montgomery,12,0,2020-12-17
Long Island,Nassau,954,2,2020-12-17
New York City,New York,2432,3,2020-12-17
Western New York,Niagara,52,0,2020-12-17
Mohawk Valley,Oneida,157,0,2020-12-17
Central New York,Onondaga,433,3,2020-12-17
Finger Lakes,Ontario,25,0,2020-12-17
Mid-Hudson,Orange,214,2,2020-12-17
Finger Lakes,Orleans,8,0,2020-12-17
Central New York,Oswego,20,0,2020-12-17
Mohawk Valley,Otsego,1,0,2020-12-17
Mid-Hudson,Putnam,53,1,2020-12-17
New York City,Queens,1097,4,2020-12-17
Capital Region,Rensselaer,131,1,2020-12-17
New York City,Richmond,419,1,2020-12-17
Mid-Hudson,Rockland,269,0,2020-12-17
Capital Region,Saratoga,199,0,2020-12-17
Capital Region,Schenectady,220,0,2020-12-17
Mohawk Valley,Schoharie,7,0,2020-12-17
Southern Tier,Schuyler,0,0,2020-12-17
Finger Lakes,Seneca,2,0,2020-12-17
North Country,St. Lawrence,356,1,2020-12-17
Southern Tier,Steuben,1,0,2020-12-17
Long Island,Suffolk,665,3,2020-12-17
Mid-Hudson,Sullivan,6,0,2020-12-17
Southern Tier,Tioga,2,0,2020-12-17
Southern Tier,Tompkins,7,0,2020-12-17
Mid-Hudson,Ulster,81,0,2020-12-17
Capital Region,Warren,39,0,2020-12-17
Capital Region,Washington,13,0,2020-12-17
Finger Lakes,Wayne,16,1,2020-12-17
Mid-Hudson,Westchester,947,2,2020-12-17
Finger Lakes,Wyoming,12,0,2020-12-17
Finger Lakes,Yates,2,0,2020-12-17
Capital Region,Albany,702,2,2020-12-18
Western New York,Allegany,40,0,2020-12-18
New York City,Bronx,609,2,2020-12-18
Southern Tier,Broome,7,0,2020-12-18
Western New York,Cattaraugus,150,0,2020-12-18
Central New York,Cayuga,23,0,2020-12-18
Western New York,Chautauqua,137,0,2020-12-18
Southern Tier,Chemung,5,1,2020-12-18
Southern Tier,Chenango,1,0,2020-12-18
North Country,Clinton,31,0,2020-12-18
Capital Region,Columbia,46,1,2020-12-18
Central New York,Cortland,3,0,2020-12-18
Southern Tier,Delaware,2,0,2020-12-18
Mid-Hudson,Dutchess,283,1,2020-12-18
Western New York,Erie,1626,3,2020-12-18
North Country,Essex,19,0,2020-12-18
North Country,Franklin,59,0,2020-12-18
Mohawk Valley,Fulton,16,0,2020-12-18
Finger Lakes,Genesee,25,0,2020-12-18
Capital Region,Greene,26,1,2020-12-18
North Country,Hamilton,0,0,2020-12-18
Mohawk Valley,Herkimer,42,0,2020-12-18
North Country,Jefferson,17,0,2020-12-18
New York City,Kings,2060,11,2020-12-18
North Country,Lewis,3,0,2020-12-18
Finger Lakes,Livingston,37,0,2020-12-18
Central New York,Madison,47,0,2020-12-18
Finger Lakes,Monroe,1111,2,2020-12-18
Mohawk Valley,Montgomery,18,0,2020-12-18
Long Island,Nassau,1654,8,2020-12-18
New York City,New York,3512,7,2020-12-18
Western New York,Niagara,142,0,2020-12-18
Mohawk Valley,Oneida,261,0,2020-12-18
Central New York,Onondaga,718,3,2020-12-18
Finger Lakes,Ontario,50,0,2020-12-18
Mid-Hudson,Orange,470,4,2020-12-18
Finger Lakes,Orleans,12,0,2020-12-18
Central New York,Oswego,28,0,2020-12-18
Mohawk Valley,Otsego,5,0,2020-12-18
Mid-Hudson,Putnam,74,2,2020-12-18
New York City,Queens,1770,9,2020-12-18
Capital Region,Rensselaer,188,1,2020-12-18
New York City,Richmond,678,1,2020-12-18
Mid-Hudson,Rockland,434,0,2020-12-18
Capital Region,Saratoga,352,0,2020-12-18
Capital Region,Schenectady,277,0,2020-12-18
Mohawk Valley,Schoharie,11,0,2020-12-18
Southern Tier,Schuyler,0,0,2020-12-18
Finger Lakes,Seneca,4,0,2020-12-18
North Country,St. Lawrence,415,1,2020-12-18
Southern Tier,Steuben,5,0,2020-12-18
Long Island,Suffolk,1277,5,2020-12-18
Mid-Hudson,Sullivan,26,0,2020-12-18
Southern Tier,Tioga,2,0,2020-12-18
Southern Tier,Tompkins,9,0,2020-12-18
Mid-Hudson,Ulster,151,1,2020-12-18
Capital Region,Warren,77,0,2020-12-18
Capital Region,Washington,30,0,2020-12-18
Finger Lakes,Wayne,30,1,2020-12-18
Mid-Hudson,Westchester,1438,4,2020-12-18
Finger Lakes,Wyoming,16,0,2020-12-18
Finger Lakes,Yates,4,0,2020-12-18
Capital Region,Albany,787,2,2020-12-19
Western New York,Allegany,41,0,2020-12-19
New York City,Bronx,684,2,2020-12-19
Southern Tier,Broome,9,0,2020-12-19
Western New York,Cattaraugus,151,0,2020-12-19
Central New York,Cayuga,27,0,2020-12-19
Western New York,Chautauqua,137,0,2020-12-19
Southern Tier,Chemung,5,1,2020-12-19
Southern Tier,Chenango,3,0,2020-12-19
North Country,Clinton,45,0,2020-12-19
Capital Region,Columbia,80,1,2020-12-19
Central New York,Cortland,5,0,2020-12-19
Southern Tier,Delaware,3,0,2020-12-19
Mid-Hudson,Dutchess,318,2,2020-12-19
Western New York,Erie,1840,3,2020-12-19
North Country,Essex,24,0,2020-12-19
North Country,Franklin,95,0,2020-12-19
Mohawk Valley,Fulton,19,0,2020-12-19
Finger Lakes,Genesee,26,0,2020-12-19
Capital Region,Greene,36,1,2020-12-19
North Country,Hamilton,0,0,2020-12-19
Mohawk Valley,Herkimer,56,0,2020-12-19
North Country,Jefferson,23,0,2020-12-19
New York City,Kings,2876,13,2020-12-19
North Country,Lewis,4,0,2020-12-19
Finger Lakes,Livingston,43,0,2020-12-19
Central New York,Madison,63,0,2020-12-19
Finger Lakes,Monroe,1398,3,2020-12-19
Mohawk Valley,Montgomery,31,0,2020-12-19
Long Island,Nassau,2316,12,2020-12-19
New York City,New York,3924,7,2020-12-19
Western New York,Niagara,215,0,2020-12-19
Mohawk Valley,Oneida,321,0,2020-12-19
Central New York,Onondaga,841,3,2020-12-19
Finger Lakes,Ontario,86,0,2020-12-19
Mid-Hudson,Orange,779,6,2020-12-19
Finger Lakes,Orleans,16,0,2020-12-19
Central New York,Oswego,32,0,2020-12-19
Mohawk Valley,Otsego,69,0,2020-12-19
Mid-Hudson,Putnam,87,2,2020-12-19
New York City,Queens,2083,10,2020-12-19
Capital Region,Rensselaer,211,1,2020-12-19
New York City,Richmond,910,1,2020-12-19
Mid-Hudson,Rockland,594,0,2020-12-19
Capital Region,Saratoga,490,1,2020-12-19
Capital Region,Schenectady,304,0,2020-12-19
Mohawk Valley,Schoharie,12,0,2020-12-19
Southern Tier,Schuyler,0,0,2020-12-19
Finger Lakes,Seneca,7,0,2020-12-19
North Country,St. Lawrence,513,1,2020-12-19
Southern Tier,Steuben,5,0,2020-12-19
Long Island,Suffolk,1552,6,2020-12-19
Mid-Hudson,Sullivan,42,1,2020-12-19
Southern Tier,Tioga,2,0,2020-12-19
Southern Tier,Tompkins,10,0,2020-12-19
Mid-Hudson,Ulster,182,1,2020-12-19
Capital Region,Warren,112,0,2020-12-19
Capital Region,Washington,41,0,2020-12-19
Finger Lakes,Wayne,39,1,2020-12-19
Mid-Hudson,Westchester,1614,5,2020-12-19
Finger Lakes,Wyoming,17,0,2020-12-19
Finger Lakes,Yates,5,0,2020-12-19
Capital Region,Albany,813,2,2020-12-20
Western New York,Allegany,45,0,2020-12-20
New York City,Bronx,720,2,2020-12-20
Southern Tier,Broome,15,0,2020-12-20
Western New York,Cattaraugus,167,0,2020-12-20
Central New York,Cayuga,29,0,2020-12-20
Western New York,Chautauqua,143,0,2020-12-20
Southern Tier,Chemung,5,1,2020-12-20
Southern Tier,Chenango,7,0,2020-12-20
North Country,Clinton,46,0,2020-12-20
Capital Region,Columbia,82,1,2020-12-20
Central New York,Cortland,5,0,2020-12-20
Southern Tier,Delaware,5,0,2020-12-20
Mid-Hudson,Dutchess,324,2,2020-12-20
Western New York,Erie,2095,4,2020-12-20
North Country,Essex,26,0,2020-12-20
North Country,Franklin,129,0,2020-12-20
Mohawk Valley,Fulton,31,0,2020-12-20
Finger Lakes,Genesee,28,0,2020-12-20
Capital Region,Greene,38,1,2020-12-20
North Country,Hamilton,1,0,2020-12-20
Mohawk Valley,Herkimer,78,0,2020-12-20
North Country,Jefferson,26,0,2020-12-20
New York City,Kings,3207,13,2020-12-20
North Country,Lewis,4,0,2020-12-20
Finger Lakes,Livingston,48,0,2020-12-20
Central New York,Madison,71,0,2020-12-20
Finger Lakes,Monroe,1570,3,2020-12-20
Mohawk Valley,Montgomery,57,0,2020-12-20
Long Island,Nassau,2505,14,2020-12-20
New York City,New York,4156,8,2020-12-20
Western New York,Niagara,232,0,2020-12-20
Mohawk Valley,Oneida,353,0,2020-12-20
Central New York,Onondaga,920,3,2020-12-20
Finger Lakes,Ontario,92,0,2020-12-20
Mid-Hudson,Orange,858,6,2020-12-20
Finger Lakes,Orleans,20,0,2020-12-20
Central New York,Oswego,37,0,2020-12-20
Mohawk Valley,Otsego,126,0,2020-12-20
Mid-Hudson,Putnam,90,2,2020-12-20
New York City,Queens,2222,11,2020-12-20
Capital Region,Rensselaer,221,1,2020-12-20
New York City,Richmond,1068,2,2020-12-20
Mid-Hudson,Rockland,607,0,2020-12-20
Capital Region,Saratoga,498,1,2020-12-20
Capital Region,Schenectady,320,0,2020-12-20
Mohawk Valley,Schoharie,19,0,2020-12-20
Southern Tier,Schuyler,0,0,2020-12-20
Finger Lakes,Seneca,7,0,2020-12-20
